ZIP_CODE,Positive,Negative,Probable,date
18349,-1,25,0,2020-11-12
18351,-1,67,0,2020-11-12
18356,6,118,0,2020-11-12
18357,-1,15,0,2020-11-12
18410,-1,21,0,2020-11-12
18413,-1,30,0,2020-11-12
18416,0,5,0,2020-11-12
18420,0,26,0,2020-11-12
18440,-1,27,-1,2020-11-12
18448,0,-1,0,2020-11-12
18449,0,-1,0,2020-11-12
18454,-1,11,0,2020-11-12
18457,0,17,0,2020-11-12
18459,-1,14,0,2020-11-12
18473,0,63,0,2020-11-12
18501,31,68,-1,2020-11-12
18502,0,10,0,2020-11-12
18515,0,-1,0,2020-11-12
18540,-1,-1,0,2020-11-12
18577,0,0,0,2020-11-12
18601,5,24,0,2020-11-12
18602,11,83,0,2020-11-12
18611,-1,6,0,2020-11-12
18625,-1,59,0,2020-11-12
18626,5,152,-1,2020-11-12
18627,-1,25,0,2020-11-12
18653,0,8,0,2020-11-12
18654,0,-1,0,2020-11-12
18690,0,-1,0,2020-11-12
18703,-1,37,0,2020-11-12
18710,0,-1,0,2020-11-12
18711,71,77,9,2020-11-12
18762,0,0,0,2020-11-12
18764,-1,6,0,2020-11-12
18765,0,0,0,2020-11-12
18766,0,23,-1,2020-11-12
18767,0,0,0,2020-11-12
18769,0,-1,0,2020-11-12
18773,0,0,0,2020-11-12
18813,0,9,0,2020-11-12
18814,-1,15,0,2020-11-12
18815,0,-1,0,2020-11-12
18816,0,11,0,2020-11-12
18820,0,-1,0,2020-11-12
18827,0,0,0,2020-11-12
18843,-1,18,0,2020-11-12
18910,0,47,0,2020-11-12
18911,7,65,-1,2020-11-12
18912,5,86,-1,2020-11-12
18916,-1,18,-1,2020-11-12
18918,0,-1,0,2020-11-12
18921,-1,31,0,2020-11-12
18922,-1,15,0,2020-11-12
18928,5,44,0,2020-11-12
18931,-1,45,0,2020-11-12
18935,-1,48,0,2020-11-12
18943,-1,26,0,2020-11-12
18946,0,28,0,2020-11-12
18949,-1,35,0,2020-11-12
18950,-1,95,-1,2020-11-12
18953,-1,33,0,2020-11-12
18956,0,11,0,2020-11-12
18957,0,19,0,2020-11-12
18958,0,13,0,2020-11-12
18962,-1,78,0,2020-11-12
18963,5,73,0,2020-11-12
18968,0,21,0,2020-11-12
18970,13,118,0,2020-11-12
18971,-1,11,0,2020-11-12
18979,-1,15,0,2020-11-12
18980,7,66,0,2020-11-12
18981,0,10,0,2020-11-12
18991,0,-1,0,2020-11-12
19016,5,20,0,2020-11-12
19017,7,67,0,2020-11-12
19019,0,27,0,2020-11-12
19028,-1,33,0,2020-11-12
19037,213,209,31,2020-11-12
19039,0,19,0,2020-11-12
19048,-1,-1,0,2020-11-12
19049,0,-1,0,2020-11-12
19052,-1,39,0,2020-11-12
19058,-1,22,0,2020-11-12
19065,-1,17,0,2020-11-12
19080,-1,12,0,2020-11-12
19088,0,6,0,2020-11-12
19089,0,5,0,2020-11-12
19091,0,-1,0,2020-11-12
19092,0,-1,0,2020-11-12
19093,0,-1,0,2020-11-12
19098,0,0,0,2020-11-12
19099,0,-1,0,2020-11-12
19101,21,114,-1,2020-11-12
19105,7,55,0,2020-11-12
19108,-1,15,0,2020-11-12
19109,0,14,0,2020-11-12
19110,-1,12,0,2020-11-12
19155,0,11,0,2020-11-12
19160,-1,16,0,2020-11-12
19161,-1,5,0,2020-11-12
19162,0,-1,0,2020-11-12
19170,0,-1,0,2020-11-12
19171,0,-1,0,2020-11-12
19172,-1,-1,0,2020-11-12
19173,0,0,0,2020-11-12
19175,0,-1,0,2020-11-12
19176,0,5,0,2020-11-12
19177,0,0,0,2020-11-12
19178,0,-1,0,2020-11-12
19179,0,-1,0,2020-11-12
19181,0,-1,0,2020-11-12
19182,-1,-1,0,2020-11-12
19183,0,-1,0,2020-11-12
19184,0,-1,0,2020-11-12
19185,0,-1,0,2020-11-12
19187,0,0,0,2020-11-12
19188,0,-1,0,2020-11-12
19190,0,-1,0,2020-11-12
19191,0,6,0,2020-11-12
19192,0,6,0,2020-11-12
19193,-1,-1,0,2020-11-12
19194,0,9,0,2020-11-12
19195,0,-1,0,2020-11-12
19196,-1,-1,0,2020-11-12
19197,0,0,0,2020-11-12
19244,0,-1,0,2020-11-12
19255,0,-1,0,2020-11-12
19316,0,20,0,2020-11-12
19318,0,8,0,2020-11-12
19331,0,12,0,2020-11-12
19339,0,-1,0,2020-11-12
19340,0,-1,0,2020-11-12
19346,-1,-1,0,2020-11-12
19347,0,14,-1,2020-11-12
19351,-1,17,0,2020-11-12
19353,0,6,0,2020-11-12
19354,-1,24,0,2020-11-12
19357,0,12,0,2020-11-12
19358,6,41,0,2020-11-12
19360,-1,13,0,2020-11-12
19366,0,10,0,2020-11-12
19367,-1,20,0,2020-11-12
19369,-1,53,0,2020-11-12
19371,0,-1,0,2020-11-12
19375,6,97,0,2020-11-12
19376,-1,15,0,2020-11-12
19381,-1,16,-1,2020-11-12
19395,0,24,0,2020-11-12
19397,0,-1,0,2020-11-12
19398,0,-1,0,2020-11-12
19399,0,18,0,2020-11-12
19404,-1,38,0,2020-11-12
19407,-1,10,0,2020-11-12
19408,-1,17,0,2020-11-12
19409,-1,7,0,2020-11-12
19415,0,0,0,2020-11-12
19421,6,75,0,2020-11-12
19423,0,19,0,2020-11-12
19424,0,-1,0,2020-11-12
19429,0,-1,0,2020-11-12
19430,-1,16,0,2020-11-12
19432,-1,18,0,2020-11-12
19437,5,197,-1,2020-11-12
19441,0,6,0,2020-11-12
19442,6,149,0,2020-11-12
19443,0,10,0,2020-11-12
19450,5,39,-1,2020-11-12
19451,0,-1,0,2020-11-12
19455,0,-1,0,2020-11-12
19457,-1,21,0,2020-11-12
19470,0,31,0,2020-11-12
19472,0,15,0,2020-11-12
19474,13,186,0,2020-11-12
19478,0,20,0,2020-11-12
19480,0,13,0,2020-11-12
19481,-1,80,0,2020-11-12
19482,0,18,0,2020-11-12
19484,0,6,0,2020-11-12
19486,-1,23,0,2020-11-12
19490,24,220,-1,2020-11-12
19493,0,0,0,2020-11-12
19494,0,-1,0,2020-11-12
19495,0,0,0,2020-11-12
19496,0,-1,0,2020-11-12
19511,-1,23,0,2020-11-12
19516,-1,10,0,2020-11-12
19519,0,-1,0,2020-11-12
19523,-1,25,0,2020-11-12
19535,-1,10,0,2020-11-12
19536,-1,69,0,2020-11-12
19538,-1,24,0,2020-11-12
19544,-1,20,0,2020-11-12
19545,-1,39,0,2020-11-12
19548,-1,24,0,2020-11-12
19554,6,59,0,2020-11-12
19559,-1,37,0,2020-11-12
19564,-1,19,0,2020-11-12
19603,20,63,0,2020-11-12
19612,6,47,0,2020-11-12
15020,-1,33,0,2020-11-12
15028,-1,27,0,2020-11-12
15069,0,7,0,2020-11-12
15072,-1,16,0,2020-11-12
15081,0,28,0,2020-11-12
15091,0,9,0,2020-11-12
15095,0,-1,0,2020-11-12
15096,0,0,0,2020-11-12
15123,-1,13,0,2020-11-12
15127,-1,32,-1,2020-11-12
15134,-1,21,0,2020-11-12
15230,-1,19,0,2020-11-12
15240,0,-1,0,2020-11-12
15242,0,16,0,2020-11-12
15244,-1,7,0,2020-11-12
15250,0,0,0,2020-11-12
15251,0,-1,0,2020-11-12
15252,0,-1,0,2020-11-12
15253,0,-1,0,2020-11-12
