ZIP_CODE,Positive,Negative,Probable,date
15521,117,375,79,2021-09-04
15522,942,2750,376,2021-09-04
15530,505,1780,165,2021-09-04
15531,253,1077,128,2021-09-04
15533,90,272,47,2021-09-04
15534,54,143,30,2021-09-04
15535,122,355,63,2021-09-04
15536,23,116,15,2021-09-04
15537,617,1702,275,2021-09-04
15538,49,160,18,2021-09-04
15539,47,135,22,2021-09-04
15541,254,990,92,2021-09-04
15542,105,286,21,2021-09-04
15545,222,509,72,2021-09-04
15546,22,101,9,2021-09-04
15550,98,348,51,2021-09-04
15552,477,1814,129,2021-09-04
15554,151,503,94,2021-09-04
15555,6,34,-1,2021-09-04
15558,129,458,25,2021-09-04
15559,127,399,68,2021-09-04
15562,17,53,-1,2021-09-04
15563,189,805,101,2021-09-04
15564,6,18,-1,2021-09-04
15705,31,89,70,2021-09-04
15711,19,83,14,2021-09-04
15714,407,1857,165,2021-09-04
15716,42,157,22,2021-09-04
15720,9,35,-1,2021-09-04
15721,10,41,-1,2021-09-04
15722,174,578,81,2021-09-04
15724,147,582,68,2021-09-04
15728,170,823,126,2021-09-04
15729,70,327,35,2021-09-04
15730,5,16,-1,2021-09-04
15739,16,130,10,2021-09-04
15742,81,235,25,2021-09-04
15744,-1,19,5,2021-09-04
15750,16,47,11,2021-09-04
15753,26,84,14,2021-09-04
15757,92,299,50,2021-09-04
15758,-1,8,0,2021-09-04
15759,107,543,60,2021-09-04
15760,17,36,-1,2021-09-04
15762,52,259,24,2021-09-04
15763,0,-1,-1,2021-09-04
15764,-1,11,0,2021-09-04
15765,68,389,28,2021-09-04
15767,695,2867,343,2021-09-04
15770,11,37,-1,2021-09-04
15771,49,155,16,2021-09-04
15772,70,346,30,2021-09-04
15773,43,146,11,2021-09-04
15775,-1,0,0,2021-09-04
15776,-1,8,-1,2021-09-04
15777,10,40,10,2021-09-04
15778,-1,36,6,2021-09-04
15780,13,30,-1,2021-09-04
15784,9,34,0,2021-09-04
15801,1082,5227,842,2021-09-04
15821,9,18,-1,2021-09-04
15823,59,270,42,2021-09-04
15824,208,1062,197,2021-09-04
15825,601,2353,327,2021-09-04
15827,15,59,9,2021-09-04
15828,7,57,-1,2021-09-04
15829,69,254,46,2021-09-04
15832,8,63,-1,2021-09-04
15834,205,1132,91,2021-09-04
15840,66,394,52,2021-09-04
15845,177,684,104,2021-09-04
15846,140,669,139,2021-09-04
15848,37,180,31,2021-09-04
15849,47,289,33,2021-09-04
15851,275,1285,215,2021-09-04
15853,395,1679,217,2021-09-04
15856,39,164,24,2021-09-04
15857,719,2919,589,2021-09-04
15860,64,229,12,2021-09-04
15861,13,19,-1,2021-09-04
15864,102,394,53,2021-09-04
15865,44,240,47,2021-09-04
15866,5,33,13,2021-09-04
15868,95,308,64,2021-09-04
15870,56,220,51,2021-09-04
15901,330,1607,71,2021-09-04
15902,782,4292,273,2021-09-04
15904,1161,5469,513,2021-09-04
15905,1563,7692,671,2021-09-04
15906,711,3897,294,2021-09-04
15909,372,1897,149,2021-09-04
15920,64,318,23,2021-09-04
15924,75,308,37,2021-09-04
15926,180,772,73,2021-09-04
15927,74,400,41,2021-09-04
15928,138,683,106,2021-09-04
15931,992,3966,323,2021-09-04
15934,19,86,14,2021-09-04
15935,204,844,100,2021-09-04
15936,93,486,49,2021-09-04
15938,228,839,73,2021-09-04
15940,442,1040,542,2021-09-04
15942,131,697,91,2021-09-04
15943,299,1409,142,2021-09-04
15944,187,949,87,2021-09-04
15945,14,79,12,2021-09-04
15946,523,2247,265,2021-09-04
15949,55,212,25,2021-09-04
15951,44,238,28,2021-09-04
15952,77,464,58,2021-09-04
15953,5,22,-1,2021-09-04
15954,140,663,42,2021-09-04
15955,127,608,76,2021-09-04
15956,200,985,109,2021-09-04
15957,19,138,19,2021-09-04
15958,151,634,86,2021-09-04
15960,21,150,15,2021-09-04
15961,71,296,39,2021-09-04
15963,654,3427,497,2021-09-04
16020,70,270,32,2021-09-04
16022,31,98,23,2021-09-04
16025,375,1324,230,2021-09-04
16028,130,451,45,2021-09-04
16030,17,66,8,2021-09-04
16036,10,25,7,2021-09-04
16038,241,765,66,2021-09-04
16040,39,191,35,2021-09-04
16041,112,456,73,2021-09-04
16049,169,632,76,2021-09-04
16050,87,363,58,2021-09-04
16051,141,741,104,2021-09-04
16057,686,3527,317,2021-09-04
16061,127,579,86,2021-09-04
16101,2394,9457,988,2021-09-04
16102,351,1406,146,2021-09-04
16105,1088,4426,433,2021-09-04
16110,27,84,13,2021-09-04
16111,55,175,25,2021-09-04
16112,102,367,56,2021-09-04
16114,22,146,12,2021-09-04
16116,186,680,81,2021-09-04
16121,342,1359,87,2021-09-04
16124,89,459,30,2021-09-04
16125,1286,5654,290,2021-09-04
16127,1115,3944,370,2021-09-04
16130,128,405,33,2021-09-04
16131,48,194,20,2021-09-04
16133,76,310,18,2021-09-04
16134,220,1018,50,2021-09-04
16137,957,3854,224,2021-09-04
16142,360,1342,127,2021-09-04
16143,185,666,89,2021-09-04
16145,188,581,69,2021-09-04
16146,890,4359,281,2021-09-04
16148,1354,5303,519,2021-09-04
16150,448,2161,172,2021-09-04
16153,161,586,53,2021-09-04
16154,141,687,34,2021-09-04
16156,162,614,79,2021-09-04
16159,286,1170,116,2021-09-04
16172,54,264,42,2021-09-04
16213,10,26,-1,2021-09-04
16214,500,2320,215,2021-09-04
16217,-1,44,0,2021-09-04
16218,78,269,21,2021-09-04
16224,83,276,36,2021-09-04
16225,-1,18,-1,2021-09-04
16232,216,825,116,2021-09-04
16233,41,201,30,2021-09-04
16234,8,17,-1,2021-09-04
16235,72,262,58,2021-09-04
16239,1253,1880,46,2021-09-04
16240,79,293,40,2021-09-04
16242,366,992,121,2021-09-04
16248,165,675,84,2021-09-04
16253,10,41,-1,2021-09-04
16254,188,865,146,2021-09-04
16255,224,421,60,2021-09-04
16258,100,418,68,2021-09-04
16260,12,45,-1,2021-09-04
16301,965,3554,256,2021-09-04
16311,16,85,11,2021-09-04
16313,84,415,39,2021-09-04
