date,County,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
2020-12-05,Palm Beach,136135,2468,5525,16356,19856,18356,19749,20357,15802,10408,5649,1609,47,72936,62691,508,134598,1535,2,15355,89295,465,49779,1687,67736,67837,147,415,134044,66011,915,798,12,34477,32193,256,66926,1052,2996,11272,12436,10518,10250,8709,5008,3202,2239,54,0 to 106,40,30139,9535,11268,15984,17852,31681,17393,6397,83,4557,57,25,1719,67736,32620,34829,66924,810,2,451708,724,520804,452432,67736,1719,26543,26280,617,8464,9081,0.0679440590243365,40
2021-01-20,Palm Beach,172509,3546,9013,21614,25793,23634,25028,24984,18729,12135,6423,1610,45,92214,79588,707,170243,2264,2,22760,99999,465,72509,2795,99378,72504,142,485,169623,96735,1056,1572,16,50845,46488,458,97791,1661,5277,15779,18053,15313,14994,12953,7627,4680,2984,58,0 to 107,40,47583,13524,16616,20068,25965,48014,23812,7411,113,5339,75,30,2061,99379,47294,51585,97789,1588,2,560461,0,660576,560461,99379,2061,41150,40891,666,5744,6410,0.10390015600624,40
2021-01-21,Palm Beach,173496,3579,9143,21712,25967,23788,25178,25088,18800,12183,6448,1610,45,92709,80058,729,171190,2304,2,22955,100220,465,73224,2826,100207,72658,142,489,170566,97521,1059,1612,16,51238,46869,473,98580,1684,5358,15852,18207,15445,15130,13050,7693,4720,3011,58,0 to 107,40,47997,13650,16736,20197,26165,48395,24020,7439,114,5364,76,30,2066,100208,47688,51997,98578,1628,2,563125,0,664068,563125,100208,2066,41577,41318,823,10462,11285,0.0729286663712893,40
2021-01-22,Palm Beach,174470,3608,9246,21851,26108,23917,25333,25211,18868,12229,6489,1610,45,93208,80534,728,172124,2344,2,23155,100480,465,73911,2843,101018,72816,142,494,171495,98287,1065,1650,17,51627,47258,467,99352,1703,5409,15954,18342,15557,15269,13170,7754,4754,3049,58,0 to 107,40,48444,13772,16870,20266,26336,48819,24197,7465,116,5386,76,30,2083,101019,48102,52398,99350,1667,2,564341,0,666100,564341,101019,2083,41129,40870,785,6404,7189,0.109194602865489,40
2021-01-23,Palm Beach,175377,3641,9356,21980,26271,24043,25453,25330,18924,12267,6502,1610,45,93666,80973,738,173019,2356,2,23373,100796,465,74534,2855,101830,72905,141,501,172384,99084,1068,1662,17,52029,47646,477,100152,1728,5489,16069,18493,15675,15385,13278,7804,4792,3060,58,0 to 107,40,48832,13905,17032,20383,26573,49210,24369,7489,117,5398,76,30,2093,101831,48497,52806,100150,1679,2,567784,0,670351,567784,101831,2093,41447,41188,793,12693,13486,0.058801720302536,40
2021-01-24,Palm Beach,176012,3656,9424,22018,26370,24144,25552,25435,18982,12308,6513,1610,45,93941,81339,732,173643,2367,2,23500,100958,465,75070,2867,102366,73001,141,504,173005,99607,1069,1674,17,52249,47954,473,100676,1736,5527,16100,18582,15765,15478,13374,7850,4826,3071,58,0 to 107,40,49099,13985,17121,20471,26699,49488,24489,7509,117,5413,76,30,2098,102367,48814,53031,100674,1691,2,569519,0,672621,569519,102367,2098,41642,41383,591,6506,7097,0.0832746230801747,40
2021-01-26,Palm Beach,176654,3677,9496,22103,26472,24231,25645,25534,19026,12336,6524,1610,45,94289,81626,739,174274,2378,2,23638,101176,465,75562,2878,102968,73039,141,506,173634,100185,1081,1685,17,52568,48220,478,101266,1749,5586,16173,18682,15846,15574,13469,7896,4851,3084,58,0 to 107,40,49403,14053,17213,20597,26860,49803,24603,7521,117,5425,76,31,2123,102968,49087,53353,101264,1702,2,571387,0,675092,571387,102968,2123,41791,41532,592,5949,6541,0.0905060388319829,40
2021-01-27,Palm Beach,177293,3688,9578,22173,26557,24330,25756,25622,19080,12368,6531,1610,45,94640,81914,739,174917,2374,2,23763,101303,465,76057,2889,103495,73152,141,505,174277,100713,1083,1682,17,52856,48460,480,101796,1760,5621,16227,18760,15929,15668,13559,7945,4877,3091,58,0 to 107,40,49679,14135,17278,20704,26998,50097,24701,7538,118,5434,77,31,2125,103495,49325,53645,101794,1699,2,572795,0,677027,572795,103495,2125,42077,41818,577,5461,6038,0.0955614441868168,40
2021-01-28,Palm Beach,178724,3736,9769,22323,26799,24519,25987,25806,19178,12417,6581,1609,45,95366,82609,749,176321,2401,2,24070,101639,465,77111,2916,104693,73360,140,531,175656,101858,1110,1704,21,53469,49012,487,102968,1785,5727,16342,18985,16095,15867,13728,8036,4928,3142,58,0 to 107,40,50278,14325,17537,20828,27331,50710,24927,7581,120,5469,79,33,2152,104693,49888,54273,102966,1725,2,576173,0,681605,576173,104693,2152,42733,42474,814,9413,10227,0.0795932335973404,40
2021-01-29,Palm Beach,179648,3766,9883,22485,26939,24657,26111,25899,19244,12453,6601,1610,45,95807,83080,761,177215,2431,2,24285,101836,465,77806,2923,105540,73438,140,530,176551,102655,1130,1733,22,53870,49419,496,103785,1809,5795,16479,19132,16234,15982,13820,8106,4961,3163,59,0 to 107,40,50715,14478,17710,20882,27563,51176,25046,7613,120,5489,80,36,2166,105540,50308,54688,103783,1755,2,577347,0,683625,577347,105540,2166,43102,42843,828,5949,6777,0.122177954847278,40
