date,Positive,Negative,Probable,Positive_New,Negative_New,Probable_New
2020-10-28,2045,15865,103,NA,NA,NA
2020-10-29,2063,15967,104,18,102,1
2020-10-30,2089,16077,103,26,110,-1
2020-10-31,2108,16201,103,19,124,0
2020-11-01,2128,16299,104,20,98,1
2020-11-02,2137,16353,104,9,54,0
2020-11-03,2153,16427,107,16,74,3
2020-11-04,2167,16518,105,14,91,-2
2020-11-05,2183,16627,108,16,109,3
2020-11-06,2207,16731,106,24,104,-2
2020-11-07,2222,16894,107,15,163,1
2020-11-08,2231,17099,106,9,205,-1
2020-11-09,2246,17178,106,15,79,0
2020-11-10,2261,17257,108,15,79,2
2020-11-11,2271,17339,110,10,82,2
2020-11-12,2291,17430,117,20,91,7
2020-11-13,2310,17490,121,19,60,4
2020-11-14,2337,17589,120,27,99,-1
2020-11-15,2352,17631,131,15,42,11
2020-11-16,2356,17650,130,4,19,-1
2020-11-17,2376,17745,132,20,95,2
2020-11-18,2399,17856,130,23,111,-2
2020-11-19,2420,17945,137,21,89,7
2020-11-20,2439,18069,141,19,124,4
2020-11-21,2458,18150,141,19,81,0
2020-11-22,2481,18274,144,23,124,3
2020-11-23,2492,18334,146,11,60,2
2020-11-24,2503,18401,149,11,67,3
2020-11-25,2523,18477,151,20,76,2
2020-11-26,2547,18520,154,24,43,3
2020-11-27,2577,18708,155,30,188,1
2020-11-28,2591,18801,161,14,93,6
2020-11-29,2604,18884,171,13,83,10
2020-11-30,2612,18921,173,8,37,2
2020-12-01,2625,18953,184,13,32,11
2020-12-02,2651,19052,188,26,99,4
2020-12-03,2673,19138,193,22,86,5
2020-12-04,2720,19220,200,47,82,7
2020-12-05,2766,19324,224,46,104,24
2020-12-06,2782,19416,223,16,92,-1
2020-12-07,2810,19449,225,28,33,2
2020-12-08,2839,19525,237,29,76,12
2020-12-09,2864,19581,249,25,56,12
2020-12-10,2918,19669,257,54,88,8
