Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
MCHRI Office of Community Engaged Research ,mchri_ocer,https://med.stanford.edu/mchri.html,"3145 Porter Drive, Palo Alto, CA 94304","The Maternal & Child Health Research Institute's (MCHRI) Office of Community Engaged Research (OCER) promotes health equity for maternal and child health populations by supporting community-engaged research initiatives and advancing strong collaborative partnerships between community, academic, and policy entities. We provide consultations and training to researchers across campus on CER in maternal and child health. ",NA,NA,NA,Health,<a href = 'https://profiles.stanford.edu/anisha-patel' target='_blank'>Anisha I Patel</a>,Dongmei Tan (dongmei@stanford.edu),NA,POINT (-122.1509 37.40892),Stanford Medicine,
Stanford Med | MENA Health Program ,mena,https://menahealth.stanford.edu/,"291 Campus Drive, Stanford, CA 94305","The MENA Health Program is focused on understanding and responding systemically to the health needs of our Middle East & North Africa (MENA) region. The vision is to build a predictive healthcare system that is driven by data and local talent to better serve its people.

The program aims to address problems in insufficient flow of health research into healthcare policy and implementation in the MENA region, as well as provide highly technical, continuing education training opportunities for specialists in order to strengthen the public health workforce.",https://dl.airtable.com/.attachments/213847ac7570a8e146a25f935fe26864/3690cf99/MENA-h.pdf,Mental health in refugee settings,https://www.youtube.com/watch?v=56vbl7ppn-I,"Health, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/gary-darmstadt' target='_blank'>Gary Darmstadt</a>,Gary Darmstadt (gdarmsta@stanford.edu),NA,POINT (-122.1757 37.43177),Stanford Medicine,
The Center for Groundwater Evaluation and Management,groundwater,https://gemcenter.stanford.edu/,"397 Panama Mall, 3rd Floor, Stanford, CA, 94305","The Center for Groundwater Evaluation and Management is a research center that provides a multidisciplinary/crosscutting approach to groundwater evaluation and management. The focus of research is the integration of data, acquired across a wide range of spatial and temporal scales, to monitor and model subsurface hydrologic processes. Central to our approach is the establishment of partnerships that allow the GEM Center to demonstrate state-of-the-science solutions to ""real-world"" problems. In this way, we hope to play a key role in encouraging the adoption of new approaches, and new technologies, for addressing the challenging problems we face in the evaluation and management of our groundwater resources.",https://dl.airtable.com/.attachments/259f88ff3316273008b05d1f55aee727/4b84142b/GEMCenter.png,"Stanford scientists led a 2-year project, the Stanford Groundwater Architecture Project (GAP), to design the optimal workflow for mapping California’s groundwater systems with an airborne geophysical imaging method. The results of the geophysical imaging are providing the critical data needed to inform planning for sustainable groundwater management. This collaborative project involved working with partners from three local water agencies; scientists from Aarhus University, Aqua Geo Frameworks, I•GIS, and Ramboll; and representatives from the California Department of Water Resources and the State Water Resources Control Board.",https://mapwater.stanford.edu/,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/rosemary-knight' target='_blank'>Rosemary Knight</a>,NA,NA,POINT (-122.1727 37.42642),"School of Earth, Energy & Environmental Sciences",
SCAN: Sewer Coronavirus Alert Network,scan,https://wbe.stanford.edu,"473 Via Ortega, Stanford, CA 94305",We provide wastewater surveillance for pathogens in the greater Bay Area and beyond. ,https://dl.airtable.com/.attachments/64bcd0061edbf45fe2ebbb516201fb09/58c90f28/SCAN-Footer-Logo.png,SCAN’s monitoring provides a comprehensive view of COVID-19 in a community.,https://wastewaterscan.org/,Health,<a href = 'https://profiles.stanford.edu/alexandria-boehm' target='_blank'>Alexandria Boehm</a>,NA,NA,POINT (-122.1759 37.42832),School of Engineering,
Stanford Alumni Consulting Team,alumni,"www.gsb.stanford.edu/act-nonprofits
www.gsb.stanford.edu/act-alumni","Knight Management Center, 655 Knight Way, Stanford, CA 94305","The Stanford Alumni Consulting Team (ACT) provides pro bono consulting expertise in a wide range of areas (e.g. strategic planning, marketing, financial sustainability, organizational growth) to nonprofits and governmental entities through teams of Stanford Graduate School of Business (GSB) alumni volunteers. Our alumni bring expertise across sectors and functions and we customize our projects to the specific needs of each client organization. Although our service has historically focused on increasing the impact of the social sector in the Bay Area, we welcome applications from any US-based organization committed to advancing racial equity. We work in two project cycles per year. Nonprofits and civic entities can apply for an ACT project via www.gsb.stanford.edu/act-nonprofits",https://dl.airtable.com/.attachments/cdb4f4ae85be08a7c6bedda7b6d44696/0de8e16c/GSB_ALUMNICONSULTTEAMS_H_2C.jpg,Stanford GSB’s ACT program sends alumni into social impact organizations to strategically solve problems and plan for growth.,https://www.gsb.stanford.edu/experience/news-history/dream-team-how-stanford-gsb-alumni-helped-refocus-struggling-nonprofit,"Arts & Humanities, Education, Environment and Sustainability, Equity or Socioeconomic Issues, Health, Identity & Human Rights, Law, Policy, & Justice, Recreation and Culture, Other",,Susan Austin (sgaustin@stanford.edu),NA,POINT (-122.1623 37.42814),Graduate School of Business,
SMASH-Med High School Summer Program,smash,https://med.stanford.edu/s-spire/outreach-programs/smash-med.html,"3145 Porter Drive, Wing C0, Palo Alto, CA 94304","Since 2018, SMASH Academy has collaborated with S-SPIRE Center to present SMASH-Med! 

This outreach program for high school students now includes a weekly full-day interactive module focused on careers in healthcare.

Our secret wish? To inspire diverse science-minded high school students to consider a future in the medical and health fields.",https://dl.airtable.com/.attachments/2c22d755880978cebb7a6e252c651eb7/ce43ebff/SMASH_Wordmark.png,"Students belonging to racial/ethnic minority groups continue to be underrepresented among medical school applicants, matriculates, and graduates. While existing pipeline programs for students who are underrepresented in medicine engage them in biomedicine at the undergraduate level, efforts to promote diversity in the medical workforce may be more effective during the years from kindergarten through 12th grade. We created a summer pipeline program focused on surgery, invited participation by students from low-income high schools, and queried students’ self-efficacy, interest, and perceived barriers in this convergent mixed-methods study. Our emphasis on surgery was intended to address the lower percentage of physicians from underrepresented groups in medical subspecialties.",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2748656?utm_source=twitter&utm_campaign=content-shareicons&utm_content=article_engagement&utm_medium=social&utm_term=033021#.YGPQtbV7cyA.twitter,Education,<a href = 'https://profiles.stanford.edu/arden-morris' target='_blank'>Arden Morris MD MPH FACS</a>,Ana Mezynski (mezynski@stanford.edu),NA,POINT (-122.1507 37.40968),Stanford Medicine,
Stanford Basic Income Lab,basic,https://basicincome.stanford.edu/,"Stanford Law School, 559 Nathan Abbott Way, Crown Building, 3rd floor, Stanford, CA 94305","The Stanford Basic Income Lab (BIL) aspires to be an academic home for the study of universal basic income. It was founded in February 2017 as an initiative of the Stanford McCoy Family Center for Ethics in Society. Under the leadership of Assistant Professor Juliana Bidadanure and the support and guidance of Joan Berry, Executive Director of the McCoy Family Center of Ethics in Society, the Basic Income Lab received seed funding from the Economic Security Project and the McCoy Family Center for Ethics in Society to create an academic home for the study and evaluation of basic income experiments. The BIL: Convenes scholars, policymakers, practitioners, members of the civil society, think tanks, nonprofits, and foundations around the philosophy, politics and economics of UBI; Provides an academic home for research on UBI: its history, the values that underpin it, its potential impact on social inequalities and poverty, and the economics around the proposal; Gathers information from experimenters on the challenges faced in establishing UBI pilots and develops recommendations and best practices in basic income experimentation.",https://dl.airtable.com/.attachments/6cb8247e68c182b415ab617beed0a573/dd6667fc/BasicIncomeLab.png,"Global Map of Universal Basic Income (UBI) Experiments - Where Have We Been, Where Are We Now, and Where Are We Going?",https://basicincome.stanford.edu/news/lab-updates/global-map-of-ubi-experiments-where-have-we-been-where-are-we-now-and-where-are-we-going/,"Education, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/juliana-bidadanure' target='_blank'>Juliana Bidadanure</a>,Sean Kline (klines@stanford.edu),NA,POINT (-122.1674 37.42389),School of Humanities & Sciences,
Community Health & Partnerships,chp,https://stanfordhealthcare.org/about-us/community-partnerships.html,"500 Pasteur Drive, Palo Alto, CA 94304","Driven by a desire to serve with empathy and compassion, Stanford Health Care works diligently to improve the lives of their patients, families, and neighbors. This dedication to the health of the community extends well beyond the hospital walls. The Community Health & Partnerships Program fills gaps in access to care, breaks down barriers to good health, and improves the social determinants of health and health equity for the most vulnerable and underserved community members.",NA,"For more information about Stanford Health Care's Community Health & Partnership Program, please review our website, including the annual community benefit report. ",https://stanfordhealthcare.org/about-us/community-partnerships.html,Health,,NA,NA,POINT (-122.1771 37.43429),Stanford Medicine,
Brain Development & Education Lab,brain,dyslexia.stanford.edu/roar/,"520 Galvez Mall, CERAS Suite 120, Stanford, CA 94305","A collaboration between the Division of Developmental-Behavioral Pediatrics within the School of Medicine and the Graduate School of Education, the goal of the Brain Development & Education Lab and the Stanford University Reading & Dyslexia Research Program is to understand the factors that contribute to differences in how all children and adults learn to read. With this understanding, we hope to design innovative, personalized education programs to serve the diversity of learners.",NA,"Digital Assessment System to Explore New Approaches of Literacy Development - The Brain Development & Education Lab at Stanford University has developed a new, automated reading assessment tool that runs in a web browser and allows children to quickly complete assessments of foundational reading skills in the classroom or at home. craft this tool to meet the assessment challenges of partner schools in Santa Clara and San Mateo counties. The lab is implementing a full-featured dashboard of assessments that can be quickly administered and provide interactive reports to teachers and school administrators. The lab continues to build and refine the dashboard and assessments through a tightly connected research-and-design cycle to support partner schools’ students, teachers and administrators.",https://news.stanford.edu/report/2022/01/20/community-projects-address-covid-19-impacts/,Education,<a href = 'https://profiles.stanford.edu/jason-yeatman' target='_blank'>Jason Yeatman</a>,Clementine Chou (clemchou@stanford.edu),NA,POINT (-122.1669 37.42461),Graduate School of Education,2022
Our Voice,voice,https://ourvoice.stanford.edu ,"1701 Page Mill Road, Palo Alto, CA  94304-1210","The Our Voice Initiative empowers community members to drive change in their local environments. Using the Discovery Tool mobile app, these “citizen scientists” document features of their communities that impact their ability to lead healthy lives. They then review their own findings, prioritize areas for change, and mobilize to promote improvements that will support community health.",https://dl.airtable.com/.attachments/771f444b0b53bd7c478ee87c5b2dfec3/4691f531/OurVoice.png,"Our Voice impacts communities locally, nationally, and internationally.",https://med.stanford.edu/ourvoice/OurVoiceImpact.html,"Health, Education",<a href = 'https://profiles.stanford.edu/abby-king' target='_blank'>Abby C King</a>,Ann Banchoff (banchoff@stanford.edu),NA,POINT (-122.153 37.40812),Stanford Medicine,
